id,customerName,poNo,product,cost,sourcePage
PRI-0038,Applied Air Conditioning Servicing - Subaru (H,,HF 510 15L,$160.00,3
PRI-0039,Applied Air Conditioning Servicing - Subaru (H,,Squeeze Tube,$57.00,3
PRI-0040,Aquamoves,81854,HF 559 (L),$29.60,3
PRI-0041,Aquamoves,81854,HF532 (20L),$330.00,3
PRI-0042,Aquamoves,81854,HF532 (L),$16.50,3
PRI-0043,Aquamoves,81854,HF559 (20L),$592.00,3
PRI-0044,Arora Precious Metal refinery,0,HF260 (20L),$488.00,3
PRI-0045,Arrow Plastics,0,HF 133 (20L) - Fr Oct 19,$328.00,3
PRI-0046,Arrow Plastics,0,HF 558 (20L) - Fr Oct 19,$349.00,3
PRI-0047,Asahi Beverages - Schweppes Australia,0,Hydro Clean 2440 / 15L (HF195) - NB fr Ja,$58.80,3
PRI-0048,Asahi Beverages - Schweppes Australia,0,Hydro Clean 2760 / 15L (HF860) - NB fr Ja,$44.40,3
PRI-0049,Asahi Beverages - Schweppes Australia,0,Hydro Clean 2920 / 20L (HF730) - NB fr Ja,$63.00,3
PRI-0050,Aussie Pride Produce,0,HF 1543 (L),$4.20,3
PRI-0051,Aussie Pride Produce,0,HF 860 (L),$3.80,3
PRI-0052,Australian Biotechnology Manufacturing,0,HF 740 10L,$61.40,3
PRI-0053,Australian Biotechnology Manufacturing,0,HF 740 15L,$79.80,3
PRI-0054,Australian Biotechnology Manufacturing,0,HF 860 10L,$54.20,3
PRI-0055,Australian Lamb Colac (CRF Colac Otway PL),0,Softener Salt per bag,$11.70,4
PRI-0056,Australian Lamb Colac (CRF Colac Otway PL),0,Water Meter 20mm,$350.00,4
PRI-0057,Australian Lamb Colac (CRF Colac Otway PL),0,Water Meter 50mm,$480.00,4
PRI-0058,Australian Lamb Colac (CRF Colac Otway PL),0,Water Softener,"$1,980.00",4
PRI-0059,Australian Meat Group (AMG) - Cootamundra,0,HF 133 (15L),$119.10,4
PRI-0060,Australian Meat Group (AMG) - Cootamundra,0,HF 143 (15L),$119.10,4
PRI-0061,Australian Meat Group (AMG) - Cootamundra,0,HF 1537 (15KG),$163.20,4
PRI-0062,Australian Meat Group (AMG) - Cootamundra,0,HF 1550 (15 kg),$141.75,4
PRI-0063,Australian Meat Group (AMG) - Cootamundra,0,HF 1550 (25Kg),$236.25,4
PRI-0064,Australian Meat Group (AMG) - Cootamundra,0,HF 191 (1000L),"$3,680.00",4
PRI-0065,Australian Meat Group (AMG) - Cootamundra,0,HF 3092 (IBC),"$3,420.00",4
PRI-0066,Australian Meat Group (AMG) - Cootamundra,0,HF 691 IBC (15%),"$6,840.00",4
PRI-0067,Australian Meat Group (AMG) - Cootamundra,0,HF 724 (IBC),"$1,538.00",4
PRI-0068,Australian Meat Group (AMG) - Cootamundra,0,HF 736 IBC,"$4,876.00",4
PRI-0069,Australian Meat Group (AMG) - Cootamundra,0,HF 740 20L,$75.00,4
PRI-0070,Australian Meat Group (AMG) - Cootamundra,0,HF 749 (1000L),"$1,340.00",4
PRI-0071,Australian Meat Group (AMG) - Cootamundra,0,HF 805P (per pallet 60x20 kg),"$1,675.25",4
PRI-0072,Australian Meat Group (AMG) - Cootamundra,0,HF 888 (20KG Bag),$31.00,4
PRI-0073,Australian Meat Group (AMG) - Cootamundra,0,HF133 (20L) CT,$170.00,4
PRI-0074,Australian Meat Group (AMG) - Cootamundra,0,HF191F (15L),$102.75,4
PRI-0075,Australian Meat Group (AMG) - Cootamundra,0,HF195 (1000L),"$1,060.00",4
PRI-0076,Australian Meat Group (AMG) - Cootamundra,0,HF198 (15L) CT,$119.25,4
PRI-0077,Australian Meat Group (AMG) - Cootamundra,0,HF295 (15L) Boiler,$142.50,4
PRI-0078,Australian Meat Group (AMG) - Cootamundra,0,HF307 (20L) CT,$136.00,4
PRI-0079,Australian Meat Group (AMG) - Cootamundra,0,HF322 (L),$9.75,4
PRI-0080,Australian Meat Group (AMG) - Cootamundra,0,HF410 (15L) Boiler,$131.55,4
PRI-0081,Australian Meat Group (AMG) - Cootamundra,0,HF693 (20L),$198.00,4
PRI-0082,Australian Meat Group (AMG) - Cootamundra,0,HF720 (IBC),"$1,410.00",4
PRI-0083,Australian Meat Group (AMG) - Cootamundra,0,HF720 (L),$3.75,4
PRI-0084,Australian Meat Group (AMG) - Cootamundra,0,HF736 (4x250KG),"$3,810.00",4
PRI-0085,Australian Meat Group (AMG) - Cootamundra,0,HF828 (15L)Boiler,$181.20,4
PRI-0086,Australian Meat Group (AMG) - Cootamundra,0,HF842 (15L),$291.75,4
PRI-0087,Australian Meat Group (AMG) - Dandenong So,,HF 143 (15 L),$225.75,5
PRI-0088,Australian Meat Group (AMG) - Dandenong So,,HF 143 (L),$7.94,5
PRI-0089,Australian Meat Group (AMG) - Dandenong So,,HF 1537 15Kg (10.88 /Kg),$163.20,5
PRI-0090,Australian Meat Group (AMG) - Dandenong So,,HF 1549 - IBC,"$6,250.00",5
PRI-0091,Australian Meat Group (AMG) - Dandenong So,,HF 1549 - Polymer (1000L),"$6,250.00",5
PRI-0092,Australian Meat Group (AMG) - Dandenong So,,HF 1550 15Kg (9.45Kg),$141.75,5
PRI-0093,Australian Meat Group (AMG) - Dandenong So,,HF 165 (15 L),$157.05,5
PRI-0094,Australian Meat Group (AMG) - Dandenong So,,HF 165 (L),$10.47,5
PRI-0095,Australian Meat Group (AMG) - Dandenong So,,HF 191 IBC ($3.68 P/L),"$3,680.00",5
PRI-0096,Australian Meat Group (AMG) - Dandenong So,,HF 195 IBC ($1.06),"$1,060.00",5
PRI-0097,Australian Meat Group (AMG) - Dandenong So,,HF 197 (L),$1.66,5
PRI-0098,Australian Meat Group (AMG) - Dandenong So,,HF 198 (15 L),$115.50,5
PRI-0099,Australian Meat Group (AMG) - Dandenong So,,HF 198 (L),$7.70,5
PRI-0100,Australian Meat Group (AMG) - Dandenong So,,HF 295 (15 L),$139.00,5
PRI-0101,Australian Meat Group (AMG) - Dandenong So,,HF 295 (L) $142.50,$9.50,5
PRI-0102,Australian Meat Group (AMG) - Dandenong So,,HF 3092 IBC - Coagulant (3.42 p/L),"$3,420.00",5
PRI-0103,Australian Meat Group (AMG) - Dandenong So,,HF 3092 (IBC) - Fr Nov-23,"$3,420.00",5
PRI-0104,Australian Meat Group (AMG) - Dandenong So,,HF 320 (15 L) - As per agreement,$137.55,5
PRI-0105,Australian Meat Group (AMG) - Dandenong So,,HF 320 (L),$9.75,5
PRI-0106,Australian Meat Group (AMG) - Dandenong So,,HF 322 15L,$146.25,5
PRI-0107,Australian Meat Group (AMG) - Dandenong So,,HF 410 (15 L),$131.55,5
PRI-0108,Australian Meat Group (AMG) - Dandenong So,,HF 410 (L),$8.77,5
PRI-0109,Australian Meat Group (AMG) - Dandenong So,,HF 510 (15 L),$151.50,5
PRI-0110,Australian Meat Group (AMG) - Dandenong So,,HF 510 (L),$10.10,5
PRI-0111,Australian Meat Group (AMG) - Dandenong So,,HF 693 (20L) (13.20 /L),$198.00,5
PRI-0112,Australian Meat Group (AMG) - Dandenong So,,HF 720 IBC ($1.41/L),"$1,410.00",5
PRI-0113,Australian Meat Group (AMG) - Dandenong So,,HF 724 IBC (2.083 /L),"$2,083.00",5
PRI-0114,Australian Meat Group (AMG) - Dandenong So,,HF 736 (L) (4 *250Kg = $3810.00),$3.81,5
PRI-0115,Australian Meat Group (AMG) - Dandenong So,,HF 736 (per 200L/250KG),$952.50,5
PRI-0116,Australian Meat Group (AMG) - Dandenong So,,HF 740 (15 L),$39.00,5
PRI-0117,Australian Meat Group (AMG) - Dandenong So,,HF 740 (20L),$75.00,5
PRI-0118,Australian Meat Group (AMG) - Dandenong So,,HF 749 IBC ($1.34 p/l),"$1,340.00",5
PRI-0119,Australian Meat Group (AMG) - Dandenong So,,"HF 805P (Per pallet, 60x20kg)","$1,675.25",5
PRI-0120,Australian Meat Group (AMG) - Dandenong So,,HF 828 (15L),$181.20,5
PRI-0121,Australian Meat Group (AMG) - Dandenong So,,HF 840 (5L),$158.40,5
PRI-0122,Australian Meat Group (AMG) - Dandenong So,,HF 842 (L) (15L = $291.75),$19.45,5
PRI-0123,Australian Pioneer Pistachio Company (APPC),0,HF 195 (15L),$21.90,6
PRI-0124,Australian Pioneer Pistachio Company (APPC),0,HF730 (20L),$46.00,6
PRI-0125,Australian Premium Dried Fruits,0,HF 720 IBC,"$1,440.00",6
PRI-0126,Australian Premium Dried Fruits,0,HF 730 (15L),$46.00,6
PRI-0127,Australian Premium Dried Fruits,0,HF 860 IBC,"$1,850.00",6
PRI-0128,Australian Steel and Wire Pty Ltd,0,HF530 (20L),$182.00,6
PRI-0129,B&E Foods Pty Ltd,0,720 (200L),$322.00,6
PRI-0130,B&E Foods Pty Ltd,0,860 (200L),$324.00,6
PRI-0131,B&E Foods Pty Ltd,0,HF 2842 (15L),$177.00,6
PRI-0132,B&E Foods Pty Ltd,0,HF 3038 (200L),$524.00,6
PRI-0133,B&E Foods Pty Ltd,0,HF 3901 (PKT),$32.00,6
PRI-0134,B&E Foods Pty Ltd,0,HF3902,"$2,100.00",6
PRI-0135,B&E Foods Pty Ltd - 8 Bess,0,HF 3038 (200L),$524.00,6
PRI-0136,B&E Foods Pty Ltd - 8 Bess,0,HF 860 (200L),$324.00,6
PRI-0137,B&E Foods Pty Ltd - 8 Bess,0,HF720 (200L),$332.00,6
PRI-0138,Baiada Poultry Pty Ltd - Osborne Park,,HF 1550E,"$1,616.00",6
PRI-0139,Baiada Poultry Pty Ltd - Osborne Park,,HF1537 (40% Citric Acid) (IBC) / HF 731 (I,$910.00,6
PRI-0140,Baiada Poultry Pty Ltd - Osborne Park,475831,HF 245 (L),$10.29,6
PRI-0141,Barristers Chambers Limited - 200 Queen Street,0,HF 510 15L,$320.00,7
PRI-0142,BASF Australia Ltd - Cheltenham,,HF 410 (15L),$142.50,7
PRI-0143,BASF Australia Ltd - Cheltenham,0,HF 133 (15L),$138.75,7
PRI-0144,BASF Australia Ltd - Cheltenham,0,HF 133 (L),$9.10,7
PRI-0145,BASF Australia Ltd - Cheltenham,0,HF 198 (15L),$113.00,7
PRI-0146,BASF Australia Ltd - Cheltenham,0,HF 198 (L),$7.33,7
PRI-0147,BASF Australia Ltd - Cheltenham,0,HF 307 (15L),$132.75,7
PRI-0148,BASF Australia Ltd - Cheltenham,0,HF 307 (L),$8.70,7
PRI-0149,BASF Australia Ltd - Cheltenham,0,HF 410 (20L),$190.00,7
PRI-0150,BASF Australia Ltd - Cheltenham,0,HF 510 15L,$360.00,7
PRI-0151,BASF Australia Ltd - Cheltenham,0,HF 530 (20L),$175.00,7
PRI-0152,BASF Australia Ltd - Cheltenham,0,HF 828 (20L) - Not present in new contract,$192.00,7
PRI-0153,BASF Australia Ltd - Cheltenham,0,HF 845 (15L),$129.75,7
PRI-0154,Batlow Fruit Co-op,0,HF 133 (L),$9.20,7
PRI-0155,Batlow Fruit Co-op,1,HF APPLE WASH POWDER 25KG,$162.00,7
PRI-0156,Batlow Fruit Co-op,1,HF143 (15L),$147.00,7
PRI-0157,Batlow Fruit Co-op,1,HF322 (15L),$96.75,7
PRI-0158,Batlow Fruit Co-op,2,HF198 (15L),$103.20,7
PRI-0159,Batlow Fruit Co-op,3,HF320S (15L),$96.75,7
PRI-0160,Bells Pure Ice - Dandenong,0,Filter Bags,$45.00,7
PRI-0161,Bensonlily Melbourne T/S Park Hyatt Melbourn,,HF 510 (15L),$228.00,8
PRI-0162,Bensonlily Melbourne T/S Park Hyatt Melbourn,,HF 532 (20L),$198.00,8
PRI-0163,Bensonlily Melbourne T/S Park Hyatt Melbourn,,HF 536 (20L),$198.00,8
PRI-0164,Bensonlily Melbourne T/S Park Hyatt Melbourn,,HF 560 (20L),$112.00,8
PRI-0165,Bensonlily Melbourne T/S Park Hyatt Melbourn,,HF 740 (20L),$112.00,8
PRI-0166,Bensonlily Melbourne T/S Park Hyatt Melbourn,,HF 840 (20L),$142.00,8
PRI-0167,BGIS - Latrobe Regional Hospital - Brookfield,0,HF 510 (15L),$245.00,8
PRI-0168,BGIS - Latrobe Regional Hospital - Brookfield,0,HF 558 (15L),$480.00,8
PRI-0169,BGIS - Latrobe Regional Hospital - Brookfield,0,HF195 (L),$5.00,8
PRI-0170,BGIS - Latrobe Regional Hospital - Brookfield,0,pH probe,$487.00,8
PRI-0171,BGIS - Latrobe Regional Hospital - Brookfield,0,Softener Salt (48 bags per pallet) per pallet,$729.00,8
PRI-0172,BGIS - Latrobe Regional Hospital - Brookfield,0,Softener Salt per bag,$15.20,8
PRI-0173,BioBlue - SA,0,75kg MB400,$15.80,8
PRI-0174,Blue Star Web (Webstar Print),0,Filter Bag,$38.00,8
PRI-0175,Blue Star Web (Webstar Print),0,HF 115 (20L),$298.00,8
PRI-0176,Blue Star Web (Webstar Print),0,HF 133 (20L),$280.00,8
PRI-0177,Blue Star Web (Webstar Print),0,HF 139 (L),$23.50,8
PRI-0178,Blue Star Web (Webstar Print),0,HF 530 (20L),$262.00,8
PRI-0179,Blue Star Web (Webstar Print),0,HF 532 (20L),$188.00,8
PRI-0180,Blue Star Web (Webstar Print),0,HF 538 (20L),$192.00,8
PRI-0181,Blue Star Web (Webstar Print),0,HF 558 (20L),$364.00,8
PRI-0182,Blue Star Web (Webstar Print),0,HF 559 (20L),$375.00,8
PRI-0183,Blue Star Web (Webstar Print),0,HF 559 (5L),$124.00,8
PRI-0184,Blue Star Web (Webstar Print),0,HF510 (15L),$194.00,8
PRI-0185,BlueScope Sheet Metal Supplies (Onesteel Georg,0,HF 133 (20L),$182.00,8
PRI-0186,Boeing Aerostructures,,Turbidex (25 kg),$80.00,9
PRI-0187,Boortmalt Masters of Malt,,HF195 (15L),$16.50,9
PRI-0188,Boortmalt Masters of Malt,,HF413 (IBC),"$1,690.00",9
PRI-0189,Boortmalt Masters of Malt,,HF414 (IBC),"$2,150.00",9
PRI-0190,Boortmalt Masters of Malt,,HF780P (15L),$205.00,9
PRI-0191,Boortmalt Masters of Malt,,HF865 (IBC),"$1,650.00",9
PRI-0192,Boortmalt Masters of Malt,,HF 860 (IBC),"$1,600.00",9
PRI-0193,Boortmalt Masters of Malt,0,Derma 925N Foamer,"$2,690.00",9
PRI-0194,Boortmalt Masters of Malt,0,Profoam - 25L,$129.59,9
PRI-0195,Boortmalt Masters of Malt,0,Trimove 25L,$293.25,9
PRI-0196,Boortmalt Masters of Malt,4507177012,HC2448 (15L),$59.25,9
PRI-0197,Borgcraft Pty Ltd,0,HF 165 (1L),$8.40,9
PRI-0198,Borgcraft Pty Ltd,0,HF 165 (20L),$168.00,9
PRI-0199,Borgcraft Pty Ltd,0,HF 198 (15L),$118.00,9
PRI-0200,Borgcraft Pty Ltd,0,HF 305 (20L),$122.00,9
PRI-0201,Borgcraft Pty Ltd,0,HF 307 (20L),$116.00,9
PRI-0202,Borgcraft Pty Ltd,0,HF 322 (15L),$165.00,9
PRI-0203,Bullock Victoria Pty Ltd,0,"1/2"" solenoid valve",$250.00,9
PRI-0204,Bullock Victoria Pty Ltd,0,HF307 (20L),$90.00,9
PRI-0205,Campbell's Soup Australia,0,HF 1570 Polymer (IBC),"$9,300.00",9
PRI-0206,Campbell's Soup Australia,4505221176,Softener Salt 15KG Bags (80 bags= 1 Palle,$976.00,9
PRI-0207,Cann Group Limited,,HF 559 (IBC),"$17,114.00",10
PRI-0208,Cann Group Limited,,HF 730 (L),$3.81,10
PRI-0209,Cann Group Limited,,HF 860 (15L) $3.47/L,$52.05,10
PRI-0210,Casalare Pty Ltd,0,HF 558 (20L),$446.00,10
PRI-0211,Casalare Pty Ltd,0,HF559 (15L) (HF 860 15L = $75.00),$334.50,10
PRI-0212,CBC - 383 George Street,0,HF 133 15L,$136.50,10
PRI-0213,CBC - 383 George Street,0,HF 510 15L,$123.00,10
PRI-0214,CBC Group - 120 Spencer Street,,HF 510 15L,$320.00,10
PRI-0215,CBRE - 124 Walker Street (Ho-Group Australia,0,HF 133 15L,$136.50,10
PRI-0216,CBRE - 124 Walker Street (Ho-Group Australia,0,HF 510 15L,$123.00,10
PRI-0217,CBRE (GCS) Pty Ltd - Robert Bosch,,Amberjet UP6150(50L)(15/7/19:Replaced b,$662.00,10
PRI-0218,CBRE (GCS) Pty Ltd - Robert Bosch,,HF 860 (15L) - Fr Sep-20 for TW only,$134.66,10
PRI-0219,CBRE (GCS) Pty Ltd - Robert Bosch,,HF 1533 (per kg) - Fr Jul-21,$15.00,10
PRI-0220,CBRE (GCS) Pty Ltd - Robert Bosch,,HF 730 (20L) - NA fr Sep-20,$62.00,10
PRI-0221,CBRE (GCS) Pty Ltd - Robert Bosch,,Purolite UCW 3240 (per drum of 50L) - Fr S,$670.68,10
PRI-0222,CBRE (GCS) Pty Ltd - Robert Bosch,0,Amberlite IRN150 (50L) (Replaced by Purol,$560.00,10
PRI-0223,CBRE (GCS) Pty Ltd - Robert Bosch,0,Aquada Maxima 10 lamp (each) - NA,$249.00,10
PRI-0224,CBRE (GCS) Pty Ltd - Robert Bosch,0,"Carbon Filters Block 20"" (piece) - Fr Sep-20",$50.00,10
PRI-0225,CBRE (GCS) Pty Ltd - Robert Bosch,0,Chemicals for reject water tanks (L) - Fr Se,$0.00,10
PRI-0226,CBRE (GCS) Pty Ltd - Robert Bosch,0,Chemicals for RO clean (Acidic) per L - Fr,$0.00,10
PRI-0227,CBRE (GCS) Pty Ltd - Robert Bosch,,UV lamp - Uviflow 10.000 lamp (piece) - Fr,$135.00,11
PRI-0228,CBRE (GCS) Pty Ltd - Robert Bosch,,UV lamp - Uviflow 20.000 lamp (piece) - Fr,$135.00,11
PRI-0229,CBRE (GCS) Pty Ltd - Robert Bosch,,UV lamp - Uvitank 40 LAMP (piece) - Fr Se,$130.00,11
PRI-0230,CBRE (GCS) Pty Ltd - Robert Bosch,,UV lamp - Uvitank 80 lamp (piece) - Fr Sep,$207.00,11
PRI-0231,CBRE (GCS) Pty Ltd - Robert Bosch,,UV lamp - Wedeco LCS17 lamp (piece) - Fr,$464.00,11
PRI-0232,CBRE (GCS) Pty Ltd - Robert Bosch,Chem. Clean,CMF- Microfiltration plant (piece) - Fr Sep-,$400.00,11
PRI-0233,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,"Cartdrige Filters 0.2 micron 10"" Pall (piece)",$128.00,11
PRI-0234,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,Cartdrige Filters 0.2 micron 20 Pall (piece),$330.00,11
PRI-0235,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,"Cartdrige Filters 0.2 micron 30"" Pall (piece)",$405.00,11
PRI-0236,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,"Cartdrige Filters 0.2 micron 40"" Pall (piece)",$385.00,11
PRI-0237,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,"Cartdrige Filters 1 micron 30"" Pall (peice)",$43.00,11
PRI-0238,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,"Cartdrige Filters 5 micron 30"" Pall (piece)",$45.00,11
PRI-0239,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,Labour / hr - DI Resin Bed Recharge (piece,$148.00,11
PRI-0240,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,Purolite UCW 3700 (1 Pallet - 9 drums of 5,"$7,470.00",11
PRI-0241,CBRE (GCS) Pty Ltd - Robert Bosch,Fr Sep-20,Purolite UCW 3700 (50L),$968.11,11
PRI-0242,CBRE (GCS) Pty Ltd - Robert Bosch,Lime slurry waste,Flocculant - Magnafloc 919 (kg) - Fr Sep-20,$15.00,11
PRI-0243,CCL Secure Pty Ltd (ex-Innovia Security - Secu,,HF 245 (15L),$165.00,11
PRI-0244,CCL Secure Pty Ltd (ex-Innovia Security - Secu,,HF 845 (20L),$170.00,11
PRI-0245,CCL Secure Pty Ltd (ex-Innovia Security - Secu,,HF 860 (15L),$60.00,11
PRI-0246,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 115 (15L),$147.00,11
PRI-0247,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 133 (15L),$130.50,11
PRI-0248,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 245 (L),$11.00,11
PRI-0249,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 246 (L),$13.20,11
PRI-0250,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 530 (15L),$88.50,11
PRI-0251,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 530 (20L),$118.00,11
PRI-0252,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 558 (15L),$283.50,11
PRI-0253,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 628 (20L),$120.00,11
PRI-0254,CCL Secure Pty Ltd (ex-Innovia Security - Secu,0,HF 840 (20L),$124.00,11
PRI-0255,Chien Wah Trading Co. Pty Ltd,,Trade waste sampling,"$2,006.00",12
PRI-0256,Chien Wah Trading Co. Pty Ltd,0,HF 133 (20L),$198.00,12
PRI-0257,Chien Wah Trading Co. Pty Ltd,0,HF 198 (15L),$78.00,12
PRI-0258,Chien Wah Trading Co. Pty Ltd,0,HF 295 (20L),$104.00,12
PRI-0259,Chien Wah Trading Co. Pty Ltd,0,HF 307 (20L),$152.00,12
PRI-0260,Chien Wah Trading Co. Pty Ltd,0,HF 410 (15L),$117.00,12
PRI-0261,Chien Wah Trading Co. Pty Ltd,0,HF 828 (15L),$133.50,12
PRI-0262,Chien Wah Trading Co. Pty Ltd,0,HF 828 (L),$8.90,12
PRI-0263,Chien Wah Trading Co. Pty Ltd,0,HF125 (25KG),$440.00,12
PRI-0264,Chien Wah Trading Co. Pty Ltd,a,Biocide Canisters (Ea),$15.00,12
PRI-0265,Clariant (Australia) Pty Ltd,,HF 133 (20L) - for CTS only,$256.00,12
PRI-0266,Clariant (Australia) Pty Ltd,,HF 1543 (15L) - Fr Mar-20,$60.00,12
PRI-0267,Clariant (Australia) Pty Ltd,,HF 230 (20L),$228.00,12
PRI-0268,Clariant (Australia) Pty Ltd,,HF 248 (20L) - as per ML 13/2/19,$194.00,12
PRI-0269,Clariant (Australia) Pty Ltd,,HF 295 (15L),$118.18,12
PRI-0270,Clariant (Australia) Pty Ltd,,HF 295 (20L) - Fr Apr-21,$130.00,12
PRI-0271,Clariant (Australia) Pty Ltd,,HF 828 (15L) AS PER MIKE,$214.05,12
PRI-0272,Clariant (Australia) Pty Ltd,,HF 828 (L),$14.27,12
PRI-0273,Clariant (Australia) Pty Ltd,,HF 830 (15L) - Fr Apr-21,$153.00,12
PRI-0274,Clariant (Australia) Pty Ltd,,Softener Salt - 1 pallet of 48 bags,$720.00,12
PRI-0275,Clariant (Australia) Pty Ltd,,Softener Salt - 25 kgs bag,$15.00,12
PRI-0276,Coca Cola Amatil - King Lake,0,Softener Salt 1200Kg pallet of 15Kg bags,$804.00,12
PRI-0277,Coca Cola Amatil - King Lake,0,Softener Salt 15Kg bag,$10.32,12
PRI-0278,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,Absorbent Pad (Oil - white hydrocarbon),$3.20,12
PRI-0279,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 139 (L),$21.30,13
PRI-0280,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 165 (L),$12.00,13
PRI-0281,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 192 (1Kg),$8.05,13
PRI-0282,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 195 (L),$4.33,13
PRI-0283,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 198 (L),$8.13,13
PRI-0284,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 230 (L),$9.70,13
PRI-0285,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 295 (L),$9.10,13
PRI-0286,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 307 (L),$7.20,13
PRI-0287,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 355 (L),$7.20,13
PRI-0288,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 382 (L),$5.60,13
PRI-0289,Coca Cola Amatil (Aust) Pty Ltd - Moorabbin Si,,HF 410 (L),$8.20,13
